division,date,home_team,away_team,ft_home_goals,ft_away_goals,ft_result,ht_home_goals,ht_away_goals,ht_result,odds_home,odds_draw,odds_away
1,2017-10-15,Cagliari,Genoa,2,3,3,0,2,3,2.37,3.33,3.35
1,2017-10-15,Crotone,Torino,2,2,2,1,0,1,04.07,3.54,02.03
1,2017-10-15,Fiorentina,Udinese,2,1,1,1,0,1,1.66,04.09,5.79
1,2017-10-15,Inter,Milan,3,2,1,1,0,1,2.21,3.54,3.5
1,2017-10-15,Sampdoria,Atalanta,3,1,1,0,1,3,2.92,3.41,2.6
1,2017-10-15,Sassuolo,Chievo,0,0,2,0,0,2,2.35,3.44,3.29
1,2017-10-16,Verona,Benevento,1,0,1,0,0,2,1.95,3.6,4.35
1,2017-10-21,Napoli,Inter,0,0,2,0,0,2,1.63,4.49,5.44
1,2017-10-21,Sampdoria,Crotone,5,0,1,3,0,1,1.56,4.32,6.86
1,2017-10-22,Atalanta,Bologna,1,0,1,0,0,2,1.63,4.11,6
1,2017-10-22,Benevento,Fiorentina,0,3,3,0,1,3,5.88,4.18,1.64
1,2017-10-22,Chievo,Verona,3,2,1,2,1,1,1.88,3.57,4.75
1,2017-10-22,Lazio,Cagliari,3,0,1,2,0,1,1.29,6.28,11.97
1,2017-10-22,Milan,Genoa,0,0,2,0,0,2,1.53,4.58,6.73
1,2017-10-22,Spal,Sassuolo,0,1,3,0,1,3,2.69,3.27,2.92
1,2017-10-22,Torino,Roma,0,1,3,0,0,2,3.73,3.86,02.02
1,2017-10-22,Udinese,Juventus,2,6,3,1,2,3,9.55,4.51,1.44
1,2017-10-24,Inter,Sampdoria,3,2,1,2,0,1,1.48,4.9,07.05
1,2017-10-25,Atalanta,Verona,3,0,1,0,0,2,1.35,5.42,10.55
1,2017-10-25,Bologna,Lazio,1,2,3,0,2,3,5.36,3.89,1.74
1,2017-10-25,Cagliari,Benevento,2,1,1,1,0,1,1.52,4.6,6.94
1,2017-10-25,Chievo,Milan,1,4,3,0,2,3,3.62,3.38,2.23
1,2017-10-25,Fiorentina,Torino,3,0,1,1,0,1,1.94,3.91,04.01
1,2017-10-25,Genoa,Napoli,2,3,3,1,2,3,9.3,5.12,1.39
1,2017-10-25,Juventus,Spal,4,1,1,2,1,1,1.13,10.08,24.93
1,2017-10-25,Roma,Crotone,1,0,1,1,0,1,1.18,8.3,18
1,2017-10-25,Sassuolo,Udinese,0,1,3,0,1,3,2,3.53,4.22
1,2017-10-28,Milan,Juventus,0,2,3,0,1,3,4.42,3.59,1.94
1,2017-10-28,Roma,Bologna,1,0,1,1,0,1,1.27,6.43,12.41
1,2017-10-29,Benevento,Lazio,1,5,3,0,3,3,13.66,6.14,1.28
1,2017-10-29,Crotone,Fiorentina,2,1,1,2,1,1,5.6,3.95,1.7
1,2017-10-29,Napoli,Sassuolo,3,1,1,2,1,1,1.16,9.9,18
1,2017-10-29,Sampdoria,Chievo,4,1,1,3,1,1,1.87,3.64,4.77
1,2017-10-29,Spal,Genoa,1,0,1,0,0,2,3.16,3.14,2.59
1,2017-10-29,Torino,Cagliari,2,1,1,1,1,2,1.65,4.44,5.25
